CV Name,Method,Success,Processing Time (ms),Time Per Publication (ms),Total Publications,Verified Publications,Verified With Author Match,Precision,Recall,F1 Score,Verification Accuracy,Publication Count Accuracy,Link Provision Rate,Citation Count Availability,Metadata Richness,Input Tokens,Output Tokens,Total Tokens,API Calls,Ground Truth CV Size,Ground Truth Publications,Error,,,,,Method,Processing Time (ms)
academics-rmit-edu-au-babak-abbasi-publications,Claude AI,TRUE,64871.9,2594.88,25,25,24,0,1,0,0,0,1,0,0.4,8750,3750,12500,5,8379,,,,,,,Claude AI,64871.9
academics-rmit-edu-au-babak-abbasi-publications,ChatGPT AI,TRUE,143445.53,5737.82,25,22,16,0,1,0,0,0,1,0,0.4,8750,3750,12500,5,8379,,,,,,,ChatGPT AI,143445.53
academics-rmit-edu-au-babak-abbasi-publications,Grok AI,TRUE,53355.2,2134.21,25,25,18,0,1,0,0,0,1,0,0.4,8750,3750,12500,5,8379,,,,,,,Grok AI,53355.2
academics-rmit-edu-au-behzad-abbasnejad-publications...,Traditional,TRUE,33355.66,1516.17,22,20,20,0.909,0.909,0.909,0.909,1,1,0,0.4,3960,2640,6600,44,7053,22,,,,,,Traditional,33355.66
academics-rmit-edu-au-behzad-abbasnejad-publications...,Gemini AI,TRUE,17778.39,846.59,21,21,20,1,0.955,0.977,1,0.955,1,0,0.4,7350,3150,10500,5,7053,22,,,,,,Gemini AI,17778.39
academics-rmit-edu-au-behzad-abbasnejad-publications...,Claude AI,TRUE,89891.92,4280.57,21,17,17,0.81,0.773,0.791,0.81,0.955,1,0,0.4,7350,3150,10500,5,7053,22,,,,,,Claude AI,89891.92
academics-rmit-edu-au-behzad-abbasnejad-publications...,ChatGPT AI,TRUE,45951.43,2188.16,21,17,17,0.81,0.773,0.791,0.81,0.955,1,0,0.4,7350,3150,10500,5,7053,22,,,,,,ChatGPT AI,45951.43
academics-rmit-edu-au-behzad-abbasnejad-publications...,Grok AI,TRUE,49871.19,2374.82,21,21,18,1,0.955,0.977,1,0.955,1,0,0.4,7350,3150,10500,5,7053,22,,,,,,Grok AI,49871.19
academics-rmit-edu-au-golnoush-abaei-publications...,Traditional,TRUE,34299.7,1429.15,24,24,22,1,1,1,1,1,1,0,0.4,4320,2880,7200,48,6772,24,,,,,,Traditional,34299.7
academics-rmit-edu-au-golnoush-abaei-publications...,Gemini AI,TRUE,17189.76,747.38,23,23,21,1,0.958,0.979,1,0.958,1,0,0.4,8050,3450,11500,5,6772,24,,,,,,Gemini AI,17189.76
academics-rmit-edu-au-golnoush-abaei-publications...,Claude AI,TRUE,73320.46,3187.85,23,22,22,0.957,0.917,0.936,0.957,0.958,1,0,0.4,8050,3450,11500,5,6772,24,,,,,,Claude AI,73320.46
academics-rmit-edu-au-golnoush-abaei-publications...,ChatGPT AI,TRUE,51161.74,2224.42,23,22,21,0.957,0.917,0.936,0.957,0.958,1,0,0.4,8050,3450,11500,5,6772,24,,,,,,ChatGPT AI,51161.74
academics-rmit-edu-au-golnoush-abaei-publications...,Grok AI,TRUE,45361.3,1972.23,23,23,21,1,0.958,0.979,1,0.958,1,0,0.4,8050,3450,11500,5,6772,24,,,,,,Grok AI,45361.3
academics-rmit-edu-au-kathleen-adams-publications... (1),Traditional,TRUE,17172.06,1431.01,12,4,,0.25,1,0.4,0.917,1,1,0,0.4,2160,1440,3600,24,3807,12,,,,,,Traditional,17172.06
academics-rmit-edu-au-kathleen-adams-publications... (1),Gemini AI,TRUE,9618.17,801.51,12,12,11,0.25,1,0.4,0.25,1,1,0,0.4,4200,1800,6000,3,3807,12,,,,,,Gemini AI,9618.17
academics-rmit-edu-au-kathleen-adams-publications... (1),Claude AI,TRUE,27469,2289.08,12,12,,0.25,1,0.4,0.25,1,1,0,0.4,4200,1800,6000,3,3807,12,,,,,,Claude AI,27469
academics-rmit-edu-au-kathleen-adams-publications... (1),ChatGPT AI,TRUE,86147.78,7178.98,12,10,10,0.25,1,0.4,0.417,1,1,0,0.4,4200,1800,6000,3,3807,12,,,,,,ChatGPT AI,86147.78
academics-rmit-edu-au-kathleen-adams-publications... (1),Grok AI,TRUE,50072.01,4172.67,12,12,,0.25,1,0.4,0.25,1,1,0,0.4,4200,1800,6000,3,3807,12,,,,,,Grok AI,50072.01
academics-rmit-edu-au-kathleen-adams-publications...,Traditional,TRUE,14883.97,1240.33,12,8,,0.25,1,0.4,0.583,1,1,0,0.4,2160,1440,3600,24,3807,12,,,,,,Traditional,14883.97
academics-rmit-edu-au-kathleen-adams-publications...,Gemini AI,TRUE,9367.12,780.59,12,12,11,0.25,1,0.4,0.25,1,1,0,0.4,4200,1800,6000,3,3807,12,,,,,,Gemini AI,9367.12
academics-rmit-edu-au-kathleen-adams-publications...,Claude AI,TRUE,45215.08,3767.92,12,12,,0.25,1,0.4,0.25,1,1,0,0.4,4200,1800,6000,3,3807,12,,,,,,Claude AI,45215.08
academics-rmit-edu-au-kathleen-adams-publications...,ChatGPT AI,TRUE,24064.57,2005.38,12,3,2,0.25,1,0.4,1,1,1,0,0.4,4200,1800,6000,3,3807,12,,,,,,ChatGPT AI,24064.57
academics-rmit-edu-au-kathleen-adams-publications...,Grok AI,TRUE,36259.87,3021.66,12,12,11,0.25,1,0.4,0.25,1,1,0,0.4,4200,1800,6000,3,3807,12,,,,,,Grok AI,36259.87
academics-rmit-edu-au-lisanne-adam-publications... (1),Traditional,TRUE,11979.31,1996.55,6,4,4,0.667,1,0.8,1,1,1,0,0.4,1080,720,1800,12,1953,6,,,,,,Traditional,11979.31
academics-rmit-edu-au-lisanne-adam-publications... (1),Gemini AI,TRUE,4061.6,676.93,6,,,0,0,0,0.333,1,1,0,0.4,2100,900,3000,2,1953,6,,,,,,Gemini AI,4061.6
academics-rmit-edu-au-lisanne-adam-publications... (1),Claude AI,TRUE,17377.32,2896.22,6,5,5,0.667,1,0.8,0.833,1,1,0,0.4,2100,900,3000,2,1953,6,,,,,,Claude AI,17377.32
academics-rmit-edu-au-lisanne-adam-publications... (1),ChatGPT AI,TRUE,13179.05,2196.51,6,4,4,0.667,1,0.8,1,1,1,0,0.4,2100,900,3000,2,1953,6,,,,,,ChatGPT AI,13179.05
academics-rmit-edu-au-lisanne-adam-publications... (1),Grok AI,TRUE,17408.65,2901.44,6,5,5,0.667,1,0.8,0.833,1,1,0,0.4,2100,900,3000,2,1953,6,,,,,,Grok AI,17408.65
academics-rmit-edu-au-lisanne-adam-publications...,Traditional,TRUE,14570.26,2428.38,6,6,6,0.667,1,0.8,0.667,1,1,0,0.4,1080,720,1800,12,1953,6,,,,,,Traditional,14570.26
academics-rmit-edu-au-lisanne-adam-publications...,Gemini AI,TRUE,4909.99,818.33,6,,,0,0,0,0.333,1,1,0,0.4,2100,900,3000,2,1953,6,,,,,,Gemini AI,4909.99
academics-rmit-edu-au-lisanne-adam-publications...,Claude AI,TRUE,47291.34,7881.89,6,5,5,0.667,1,0.8,0.833,1,1,0,0.4,2100,900,3000,2,1953,6,,,,,,Claude AI,47291.34
academics-rmit-edu-au-lisanne-adam-publications...,ChatGPT AI,TRUE,11726.17,1954.36,6,5,5,0.667,1,0.8,0.833,1,1,0,0.4,2100,900,3000,2,1953,6,,,,,,ChatGPT AI,11726.17
academics-rmit-edu-au-lisanne-adam-publications...,Grok AI,TRUE,17411.12,2901.85,6,5,5,0.667,1,0.8,0.833,1,1,0,0.4,2100,900,3000,2,1953,6,,,,,,Grok AI,17411.12
academics-rmit-edu-au-luise-adams-publications...,Traditional,TRUE,6320.65,2106.88,3,1,1,0.333,0.5,0.4,0.667,1,1,0,0.4,540,360,900,6,1446,3,,,,,,Traditional,6320.65
academics-rmit-edu-au-luise-adams-publications...,Gemini AI,TRUE,4510.9,1503.63,3,3,3,0.667,1,0.8,0.667,1,1,0,0.4,1050,450,1500,1,1446,3,,,,,,Gemini AI,4510.9
academics-rmit-edu-au-luise-adams-publications...,Claude AI,TRUE,21287.91,7095.97,3,3,3,0.667,1,0.8,0.667,1,1,0,0.4,1050,450,1500,1,1446,3,,,,,,Claude AI,21287.91
academics-rmit-edu-au-luise-adams-publications...,ChatGPT AI,TRUE,7186.38,2395.46,3,2,2,0.667,1,0.8,1,1,1,0,0.4,1050,450,1500,1,1446,3,,,,,,ChatGPT AI,7186.38
academics-rmit-edu-au-luise-adams-publications...,Grok AI,TRUE,13224.78,4408.26,3,3,3,0.667,1,0.8,0.667,1,1,0,0.4,1050,450,1500,1,1446,3,,,,,,Grok AI,13224.78
academics-rmit-edu-au-mali-abdollahian-publications...,Traditional,TRUE,36081.84,1443.27,25,23,23,0.92,0.958,0.939,0.96,1,1,0,0.4,4500,3000,7500,50,8634,25,,,,,,Traditional,36081.84
academics-rmit-edu-au-mali-abdollahian-publications...,Gemini AI,TRUE,15485.92,619.44,25,4,1,0.16,0.167,0.163,0.2,1,1,0,0.4,8750,3750,12500,5,8634,25,,,,,,Gemini AI,15485.92
academics-rmit-edu-au-mali-abdollahian-publications...,Claude AI,TRUE,70481.04,2819.24,25,10,7,0.4,0.417,0.408,0.44,1,1,0,0.4,8750,3750,12500,5,8634,25,,,,,,Claude AI,70481.04
academics-rmit-edu-au-mali-abdollahian-publications...,ChatGPT AI,TRUE,53192.91,2127.72,25,15,4,0.6,0.625,0.612,0.64,1,1,0,0.4,8750,3750,12500,5,8634,25,,,,,,ChatGPT AI,53192.91
